Step,Energy,Magnetisation
519,-16588,1346
520,-16612,1324
521,-16812,1234
522,-16660,1166
523,-16664,1138
524,-16800,1094
525,-16584,1068
526,-16460,1042
527,-16588,1066
528,-16488,1036
529,-16396,1144
530,-16420,1226
531,-16592,1278
532,-16612,1210
533,-16680,1242
534,-16692,1192
535,-16692,1194
536,-16776,1216
537,-16664,1250
538,-16592,1220
539,-16564,1278
540,-16588,1316
541,-16472,1308
542,-16396,1222
543,-16424,1250
544,-16216,1282
545,-16364,1334
546,-16296,1356
547,-16184,1422
548,-16104,1342
549,-16196,1278
550,-16272,1280
551,-16348,1168
552,-16336,1240
553,-16456,1210
554,-16200,1312
555,-16384,1260
556,-16252,1230
557,-16284,1326
558,-16216,1288
559,-16456,1344
560,-16512,1412
561,-16672,1450
562,-16636,1416
563,-16700,1294
564,-16648,1300
565,-16540,1356
566,-16448,1392
567,-16516,1392
568,-16572,1370
569,-16456,1312
570,-16200,1322
571,-16388,1328
572,-16516,1276
573,-16356,1214
574,-16364,1232
575,-16408,1220
576,-16428,1164
577,-16460,1228
578,-16284,1212
579,-16292,1184
580,-16412,1208
581,-16376,1130
582,-16292,1104
583,-16332,1136
584,-16332,1240
585,-16296,1148
586,-16348,1156
587,-16260,1128
588,-16340,1064
589,-16380,1124
590,-16472,1160
591,-16320,1014
592,-16400,1066
593,-16196,1124
594,-16116,1126
595,-16328,1140
596,-16276,1112
597,-16152,1170
598,-16044,1268
599,-16044,1244
600,-16380,1224
601,-16340,1348
602,-16440,1472
603,-16388,1482
604,-16520,1480
605,-16380,1444
606,-16332,1368
607,-16616,1378
608,-16600,1394
609,-16640,1426
610,-16772,1466
611,-16896,1582
612,-16880,1594
613,-16576,1558
614,-16604,1512
615,-16772,1420
616,-16732,1484
617,-16820,1398
618,-16744,1574
619,-16728,1572
620,-16640,1660
621,-16620,1612
622,-16460,1652
623,-16488,1674
624,-16568,1694
625,-16472,1576
626,-16560,1586
627,-16664,1440
628,-16776,1466
629,-16780,1486
630,-16724,1536
631,-16828,1584
632,-16768,1616
633,-16776,1588
634,-16640,1628
635,-16564,1632
636,-16616,1582
637,-16600,1636
638,-16588,1688
639,-16684,1708
640,-16628,1702
641,-16760,1730
642,-16708,1748
643,-16776,1734
644,-16712,1792
645,-16612,1736
646,-16756,1720
647,-16732,1698
648,-16764,1694
649,-16528,1574
650,-16764,1534
651,-16796,1508
652,-16796,1568
653,-16684,1640
654,-16356,1620
655,-16452,1712
656,-16512,1684
657,-16316,1826
658,-16504,1842
659,-16368,1810
660,-16160,1742
661,-16476,1788
662,-16348,1792
663,-16440,1830
664,-16576,1686
665,-16620,1742
666,-16552,1712
667,-16336,1628
668,-16628,1724
669,-16620,1736
670,-16564,1768
671,-16400,1750
672,-16412,1688
673,-16436,1726
674,-16320,1764
675,-16340,1736
676,-16320,1708
677,-16380,1786
678,-16296,1782
679,-16288,1784
680,-16604,1746
681,-16584,1756
682,-16644,1754
683,-16704,1762
684,-16964,1838
685,-16796,1760
686,-16664,1792
687,-16688,1692
688,-16952,1738
689,-16724,1704
690,-16720,1736
691,-16832,1698
692,-16748,1724
693,-16704,1778
694,-16572,1630
695,-16552,1660
696,-16576,1608
697,-16612,1584
698,-16688,1514
699,-16652,1522
700,-16648,1598
701,-16744,1576
702,-16920,1592
703,-16832,1610
704,-16964,1616
705,-16580,1662
706,-16616,1534
707,-16744,1582
708,-16668,1512
709,-16544,1540
710,-16596,1614
711,-16796,1588
712,-16652,1592
713,-16716,1650
714,-16836,1564
715,-16812,1422
716,-16792,1480
717,-16908,1462
718,-17104,1600
719,-17008,1600
720,-16940,1504
721,-16876,1490
722,-16556,1572
723,-16464,1604
724,-16764,1464
725,-16708,1430
726,-16716,1442
727,-16528,1450
728,-16628,1546
729,-16592,1544
730,-16636,1606
731,-16788,1626
732,-16896,1658
733,-16676,1632
734,-16604,1678
735,-16520,1770
736,-16624,1762
737,-16528,1720
738,-16480,1702
739,-16632,1626
740,-16648,1620
741,-16632,1692
742,-16624,1628
743,-16584,1592
744,-16748,1600
745,-16812,1616
746,-16680,1720
747,-16656,1664
748,-16884,1696
749,-16772,1630
750,-16744,1670
751,-16772,1600
752,-16756,1680
753,-16868,1740
754,-16836,1656
755,-16904,1610
756,-16908,1450
757,-16840,1448
758,-16656,1282
759,-16544,1326
760,-16556,1342
761,-16496,1408
762,-16716,1408
763,-16608,1516
764,-16604,1392
765,-16636,1518
766,-16644,1478
767,-16768,1550
768,-16672,1462
769,-16756,1370
770,-16676,1394
771,-16540,1404
772,-16644,1420
773,-16804,1298
774,-16556,1296
775,-16636,1242
776,-16712,1210
777,-16680,1302
778,-16516,1522
779,-16604,1560
780,-16368,1612
781,-16500,1604
782,-16652,1662
783,-16620,1628
784,-16608,1526
785,-16404,1532
786,-16432,1534
787,-16588,1520
788,-16684,1516
789,-16936,1506
790,-16832,1426
791,-16620,1420
792,-16772,1394
793,-16716,1402
794,-16916,1412
795,-16920,1508
796,-16900,1518
797,-16704,1556
798,-16672,1560
799,-16584,1576
800,-16660,1628
801,-16416,1558
802,-16592,1602
803,-16684,1636
804,-16560,1636
805,-16740,1702
806,-16544,1728
807,-16484,1760
808,-16572,1756
809,-16568,1750
810,-16660,1724
811,-16360,1690
812,-16408,1540
813,-16492,1614
814,-16632,1616
815,-16556,1600
816,-16620,1538
817,-16400,1586
818,-16528,1568
819,-16496,1540
820,-16700,1514
821,-16780,1610
822,-16800,1514
823,-16740,1472
824,-16504,1422
825,-16308,1524
826,-16460,1546
827,-16544,1548
828,-16416,1576
829,-16744,1472
830,-16452,1426
831,-16556,1296
832,-16660,1270
833,-16632,1320
834,-16720,1388
835,-16640,1458
836,-16592,1402
837,-16776,1406
838,-16568,1350
839,-16556,1340
840,-16300,1384
841,-16248,1408
842,-16372,1364
843,-16532,1332
844,-16392,1312
845,-16532,1364
846,-16648,1348
847,-16652,1382
848,-16524,1354
849,-16340,1350
850,-16692,1368
851,-16736,1364
852,-16508,1312
853,-16516,1342
854,-16540,1394
855,-16688,1292
856,-16656,1370
857,-16780,1368
858,-16708,1274
859,-16820,1274
860,-16828,1304
861,-16584,1324
862,-16496,1340
863,-16560,1314
864,-16792,1354
865,-16960,1466
866,-16884,1462
867,-16888,1536
868,-16720,1540
869,-16632,1560
870,-16580,1490
871,-16572,1484
872,-16616,1518
873,-16640,1470
874,-16584,1380
875,-16588,1366
876,-16740,1432
877,-16588,1346
878,-16300,1348
879,-16332,1354
880,-16460,1334
881,-16556,1338
882,-16436,1384
883,-16436,1388
884,-16504,1332
885,-16520,1364
886,-16396,1336
887,-16472,1302
888,-16548,1298
889,-16416,1190
890,-16428,1176
891,-16524,1242
892,-16380,1164
893,-16496,1124
894,-16596,1142
895,-16728,1190
896,-16644,1248
897,-16656,1218
898,-16480,1234
899,-16664,1108
900,-16564,1108
901,-16604,1032
902,-16464,1058
903,-16504,1102
904,-16604,1030
905,-16472,1122
906,-16628,1188
907,-16384,1168
908,-16308,1210
909,-16468,1232
910,-16496,1242
911,-16416,1180
912,-16528,1176
913,-16752,1190
914,-16500,1192
915,-16504,1166
916,-16584,1274
917,-16600,1280
918,-16404,1240
919,-16432,1322
920,-16644,1424
921,-16776,1350
922,-16352,1414
923,-16408,1394
924,-16404,1416
925,-16516,1370
926,-16624,1358
927,-16724,1340
928,-16544,1412
929,-16532,1332
930,-16348,1160
931,-16348,1196
932,-16416,1256
933,-16392,1330
934,-16400,1182
935,-16372,1272
936,-16512,1340
937,-16928,1350
938,-16712,1416
939,-16620,1420
940,-16760,1508
941,-16724,1508
942,-16640,1472
943,-16888,1418
944,-16696,1418
945,-16828,1334
946,-16840,1322
947,-16684,1270
948,-16672,1236
949,-16428,1168
950,-16664,1106
951,-16624,1130
952,-16764,1202
953,-16632,1234
954,-16648,1212
955,-16728,1346
956,-16504,1234
957,-16864,1316
958,-16980,1266
959,-17040,1292
960,-16892,1270
961,-16904,1318
962,-16932,1296
963,-16844,1310
964,-16780,1324
965,-16816,1404
966,-16772,1362
967,-16480,1238
968,-16424,1220
969,-16628,1240
970,-16560,1308
971,-16376,1270
972,-16492,1182
973,-16500,1088
974,-16344,1068
975,-16552,1068
976,-16620,1074
